이벤트,소스,매체,사용자수
ga4-btn-gnb-freetrial,(data not available),,29
ga4-btn-gnb-freetrial,(direct) , (none),36
ga4-btn-gnb-freetrial,BS , brand_search_pc,2
ga4-btn-gnb-freetrial,apps.nhn-commerce.com , referral,1
ga4-btn-gnb-freetrial,cafe24 , banner,2
ga4-btn-gnb-freetrial,charllasample.cafe24.com , referral,1
ga4-btn-gnb-freetrial,chatgpt.com , ai-assistant,2
ga4-btn-gnb-freetrial,console.charlla.video , referral,1
ga4-btn-gnb-freetrial,google , cpc,222
ga4-btn-gnb-freetrial,google , organic,9
ga4-btn-gnb-freetrial,hjmszz.cafe24.com , referral,1
ga4-btn-gnb-freetrial,ming4991.cafe24.com , referral,1
ga4-btn-gnb-freetrial,naver , brand_search_m,1
ga4-btn-gnb-freetrial,naver , cpc,4
ga4-btn-gnb-freetrial,naver , organic,1
ga4-btn-home-footer-freetrial,(data not available),,2
ga4-btn-home-footer-freetrial,(direct) , (none),1
ga4-btn-home-footer-freetrial,cafe24 , banner,1
ga4-btn-home-footer-freetrial,google , cpc,4
ga4-btn-home-footer-freetrial,inblog , blog,1
ga4-btn-home-footer-freetrial,naver , cpc,2
ga4-btn-home-footer-freetrial,naverblog , blog,1
ga4-btn-home-footer-freetrial,store.cafe24.com , referral,1
ga4-btn-home-freetrial,(data not available),,89
ga4-btn-home-freetrial,(direct) , (none),34
ga4-btn-home-freetrial,BS , brand_search_pc,3
ga4-btn-home-freetrial,blog.catenoid.net , referral,1
ga4-btn-home-freetrial,cafe24 , banner,6
ga4-btn-home-freetrial,catenoid.net , referral,2
ga4-btn-home-freetrial,cgimall.co.kr , referral,1
ga4-btn-home-freetrial,chatgpt.com , ai-assistant,3
ga4-btn-home-freetrial,gdn , banner,5
ga4-btn-home-freetrial,google , cpc,1330
ga4-btn-home-freetrial,google , organic,14
ga4-btn-home-freetrial,inblog , blog,13
ga4-btn-home-freetrial,letme38.cafe24.com , referral,1
ga4-btn-home-freetrial,m.search.naver.com , referral,3
ga4-btn-home-freetrial,naver , cpc,82
ga4-btn-home-freetrial,naver , organic,6
ga4-btn-home-freetrial,stibee , cta,1
ga4-btn-home-freetrial,viimstudio , banner,2
ga4-btn-home-freetrial,yahoo , organic,1
ga4-btn-home-freetrial,yandex , organic,1
ga4-btn-lite-free,(direct) , (none),5
ga4-btn-lite-free,charllasample.cafe24.com , referral,1
ga4-btn-lite-free,google , cpc,3
ga4-btn-lite-free,google , organic,1
ga4-btn-lite-free,naver , cpc,4
ga4-btn-multiplayer-footer-free,BS , brand_search_pc,1
ga4-btn-multiplayer-footer-free,naver , cpc,1
ga4-btn-multiplayer-free,google , cpc,6
ga4-btn-multiplayer-free,google , organic,1
ga4-btn-multiplayer-free,naver , cpc,2
ga4-btn-standard-free,(direct) , (none),1
ga4_btn_basic_free,(direct) , (none),2
ga4_btn_basic_free,cafe24 , banner,1
ga4_btn_basic_free,google , cpc,1
ga4_btn_basic_free,naver , cpc,1
sign-up-create-account-social,(data not available),,20
sign-up-create-account-social,(direct) , (none),58
sign-up-create-account-social,BS , brand_search_pc,3
sign-up-create-account-social,bcbg2019.cafe24.com , referral,1
sign-up-create-account-social,br.nate.com , referral,1
sign-up-create-account-social,cafe24 , banner,2
sign-up-create-account-social,catenoid.net , referral,1
sign-up-create-account-social,chatgpt.com , ai-assistant,1
sign-up-create-account-social,chatgpt.com , referral,1
sign-up-create-account-social,console.charlla.video , referral,1
sign-up-create-account-social,google , cpc,323
sign-up-create-account-social,google , organic,14
sign-up-create-account-social,guutitude.cafe24.com , referral,1
sign-up-create-account-social,inblog , blog,4
sign-up-create-account-social,m.search.naver.com , referral,2
sign-up-create-account-social,naver , cpc,31
