구분,소스,매체,사용자수
Direct,(direct) , (none),1381
Display,google , cpc,1142
Paid Search,google , cpc,954
Paid Search,naver , cpc,306
Organic Search,google , organic,177
Cross-network,(data not available),,70
Unassigned,stibee , cta,68
Unassigned,BS , brand_search_pc,53
Display,gdn , banner,41
Display,viimstudio , banner,30
Organic Search,naver , organic,27
Unassigned,(not set) , ???,26
Unassigned,survey , cta,23
Organic Search,m.search.naver.com , referral,21
Paid Video,google , cpc,15
Referral,charllasample.cafe24.com , referral,12
Referral,pkh8585.cafe24.com , referral,12
Referral,app.shop-pro.jp , referral,10
Organic Search,bing , organic,8
Referral,eve014.cafe24.com , referral,8
Referral,accounts.google.com , referral,7
Referral,api.shop-pro.jp , referral,7
Referral,cobblesports24.cafe24.com , referral,6
Organic Social,m.facebook.com , referral,5
Referral,ageatlabs.cafe24.com , referral,5
Referral,br.nate.com , referral,5
Referral,catenoid.net , referral,5
Referral,charlla.io , referral,5
Referral,idfmall.cafe24.com , referral,5
Referral,store.makeshop.co.kr , referral,5
Unassigned,blog , ebook2,5
Referral,drhager.cafe24.com , referral,4
Referral,gustongue.cafe24.com , referral,4
Referral,qhdrus123.cafe24.com , referral,4
Referral,tokyonpearlkorea.cafe24.com , referral,4
Referral,urbancarry.cafe24.com , referral,4
Referral,usul.cafe24.com , referral,4
Referral,volvikapparel.cafe24.com , referral,4
Unassigned,inblog , blog,4
Referral,apps.godo.co.kr , referral,3
Referral,bluegrain.cafe24.com , referral,3
Referral,chatgpt.com , referral,3
Referral,chloehan.cafe24.com , referral,3
Referral,choco27.cafe24.com , referral,3
Referral,exerapy.cafe24.com , referral,3
Referral,globian01.cafe24.com , referral,3
Referral,kkst2700.cafe24.com , referral,3
Referral,layermfg.cafe24.com , referral,3
Referral,lilyeve.cafe24.com , referral,3
Referral,monamhee.cafe24.com , referral,3
Referral,moont2018.cafe24.com , referral,3
Referral,nextgoods.cafe24.com , referral,3
Referral,orbique.cafe24.com , referral,3
Referral,store.cafe24.com , referral,3
Referral,vcservice.cafe24.com , referral,3
Referral,zishenmall.cafe24.com , referral,3
Unassigned,naverblog , blog,3
Display,cafe24 , banner,2
Organic Social,facebook.com , referral,2
Organic Social,instagram , ebook2,2
Referral,awesomehabi1029.cafe24.com , referral,2
Referral,big2love.cafe24.com , referral,2
Referral,blog.catenoid.net , referral,2
Referral,bonjourcc.cafe24.com , referral,2
Referral,bs2korea.cafe24.com , referral,2
Referral,cfd51260.cafe24.com , referral,2
Referral,cloudemotion.cafe24.com , referral,2
Referral,dannkw.cafe24.com , referral,2
Referral,dipliti.cafe24.com , referral,2
Referral,dkotc.cafe24.com , referral,2
Referral,giemar.cafe24.com , referral,2
Referral,guutitude.cafe24.com , referral,2
Referral,hojaefs001.cafe24.com , referral,2
Referral,hrrolly911.cafe24.com , referral,2
Referral,jwg-web.tistory.com , referral,2
Referral,kcimegg.cafe24.com , referral,2
Referral,konnybaby.cafe24.com , referral,2
Referral,legodtofficial.cafe24.com , referral,2
Referral,lingseoul2.cafe24.com , referral,2
Referral,linnov.cafe24.com , referral,2
Referral,litolito.cafe24.com , referral,2
Referral,ovlr01.cafe24.com , referral,2
Referral,quat.cafe24.com , referral,2
Referral,realnz24.cafe24.com , referral,2
Referral,sabon11.cafe24.com , referral,2
Referral,saintluxure.cafe24.com , referral,2
Referral,sdw10191019.cafe24.com , referral,2
Referral,seokjno4.cafe24.com , referral,2
Referral,sizeofc.cafe24.com , referral,2
Referral,skitbeauty.cafe24.com , referral,2
Referral,sungchun007.cafe24.com , referral,2
Referral,thanksmomshop.cafe24.com , referral,2
Referral,theclan21.cafe24.com , referral,2
Unassigned,(not set),,2
Unassigned,iboss , article,2
AI Assistant,gemini.google.com , ai-assistant,1
AI Assistant,perplexity.ai , ai-assistant,1
Display,featpaper , banner,1
Display,iboss , banner,1
Organic Search,qwant.com , organic,1
Organic Shopping,stibee , ebook,1
Organic Social,blog.naver.com , referral,1
Organic Social,ig , social,1
Organic Video,youtube.com , referral,1
Paid Shopping,naver , cpc,1
Referral,abnm.cafe24.com , referral,1
Referral,accounts.google.co.kr , referral,1
Referral,adfootfilter.cafe24.com , referral,1
Referral,adpderma.cafe24.com , referral,1
Referral,aduul1202.cafe24.com , referral,1
Referral,agingccc1.cafe24.com , referral,1
Referral,agoraagora.cafe24.com , referral,1
Referral,ahres.cafe24.com , referral,1
Referral,altalks.cafe24.com , referral,1
Referral,amate0722.cafe24.com , referral,1
Referral,amokajaipur.cafe24.com , referral,1
Referral,anbio.cafe24.com , referral,1
Referral,anderssonbell.cafe24.com , referral,1
Referral,andstyle25.cafe24.com , referral,1
Referral,annaroxy.cafe24.com , referral,1
Referral,anne2173.cafe24.com , referral,1
Referral,annekleinkr.cafe24.com , referral,1
Referral,aoyukr.cafe24.com , referral,1
Referral,app.notion.com , referral,1
Referral,approval.office.hiworks.com , referral,1
Referral,apps.nhn-commerce.com , referral,1
Referral,arenakorea1.cafe24.com , referral,1
Referral,aromigagu1.cafe24.com , referral,1
Referral,asas2855.cafe24.com , referral,1
Referral,astonishkorea.cafe24.com , referral,1
Referral,baruner.cafe24.com , referral,1
Referral,bondi1.cafe24.com , referral,1
Referral,bottlerhouse.cafe24.com , referral,1
Referral,bunker29.cafe24.com , referral,1
Referral,bunuckle.cafe24.com , referral,1
Referral,carey0511.cafe24.com , referral,1
Referral,ccomozzz.cafe24.com , referral,1
Referral,celora.cafe24.com , referral,1
Referral,cgimall.co.kr , referral,1
Referral,charlla.megadoga.com , referral,1
Referral,cheriaube.cafe24.com , referral,1
Referral,cherrycrko.cafe24.com , referral,1
Referral,cjdaksak.cafe24.com , referral,1
Referral,cncom0812.cafe24.com , referral,1
Referral,console.charlla.video , referral,1
Referral,curelife7676.cafe24.com , referral,1
Referral,daegu1988.cafe24.com , referral,1
Referral,dasodabeauty.cafe24.com , referral,1
Referral,defemme.cafe24.com , referral,1
Referral,designrebekah1.cafe24.com , referral,1
Referral,dikero.cafe24.com , referral,1
Referral,discover3.cafe24.com , referral,1
Referral,dltkd9898.cafe24.com , referral,1
Referral,dolbiway1.cafe24.com , referral,1
Referral,dqlovejin.cafe24.com , referral,1
Referral,dreamartworld.cafe24.com , referral,1
Referral,dyota2082.cafe24.com , referral,1
Referral,ecoutedy.cafe24.com , referral,1
Referral,ecudemo378833.cafe24.com , referral,1
Referral,edimedy.cafe24.com , referral,1
Referral,ejune06.cafe24.com , referral,1
Referral,euijin1124.cafe24.com , referral,1
Referral,factbites.com , referral,1
Referral,fallinfuni01.cafe24.com , referral,1
Referral,featpaper.com , referral,1
Referral,fellas86.cafe24.com , referral,1
Referral,flenint.cafe24.com , referral,1
Referral,fs6066.cafe24.com , referral,1
Referral,future-shop.jp , referral,1
Referral,genother.cafe24.com , referral,1
Referral,guessunderwear.cafe24.com , referral,1
Referral,gw.yonseidairy.com , referral,1
Referral,haesool5644.cafe24.com , referral,1
Referral,haneseoul82.cafe24.com , referral,1
Referral,healinghat.cafe24.com , referral,1
Referral,hellenstein.cafe24.com , referral,1
Referral,help-center.cafe24.com , referral,1
Referral,heulo.cafe24.com , referral,1
Referral,hi880515.cafe24.com , referral,1
Referral,hirajejuin.cafe24.com , referral,1
Referral,hjmszz.cafe24.com , referral,1
