이벤트,소스,매체,사용자수
ga4-btn-home-freetrial,charllasample.cafe24.com , referral,1
ga4-btn-home-freetrial,gdn , banner,1
ga4-btn-home-freetrial,iboss , article,1
ga4-btn-home-freetrial,inblog , blog,1
ga4-btn-lite-free,google , cpc,1
ga4-btn-lite-free,naver , cpc,1
ga4-btn-lite-free,naver , organic,1
ga4-btn-multiplayer-footer-free,google , cpc,1
ga4-btn-playlist-free,api.shop-pro.jp , referral,1
ga4-btn-playlist-free,app.shop-pro.jp , referral,1
ga4-btn-playlist-free,google , cpc,1
ga4-btn-playlist-free,m.search.naver.com , referral,1
ga4-btn-playlist-free2,google , cpc,1
ga4-btn-policy-next,aduul1202.cafe24.com , referral,1
ga4-btn-policy-next,amate0722.cafe24.com , referral,1
ga4-btn-policy-next,bing , organic,1
ga4-btn-policy-next,ccomozzz.cafe24.com , referral,1
ga4-btn-policy-next,charllasample.cafe24.com , referral,1
ga4-btn-policy-next,choco27.cafe24.com , referral,1
ga4-btn-policy-next,dikero.cafe24.com , referral,1
ga4-btn-policy-next,fellas86.cafe24.com , referral,1
ga4-btn-policy-next,guutitude.cafe24.com , referral,1
ga4-btn-policy-next,ijungmall.cafe24.com , referral,1
ga4-btn-policy-next,jublanc11.cafe24.com , referral,1
ga4-btn-policy-next,momsbylook.cafe24.com , referral,1
ga4-btn-policy-next,monamhee.cafe24.com , referral,1
ga4-btn-policy-next,naver , organic,1
ga4-btn-policy-next,realnz24.cafe24.com , referral,1
ga4-btn-policy-next,returnstory1.cafe24.com , referral,1
ga4-btn-policy-next,rimine1129.cafe24.com , referral,1
ga4-btn-policy-next,senselbeauty.cafe24.com , referral,1
ga4-btn-policy-next,showroom320.cafe24.com , referral,1
ga4-btn-policy-next,tessicompany.cafe24.com , referral,1
ga4-btn-policy-next,vcservice.cafe24.com , referral,1
ga4-btn-policy-next,xauto1234.cafe24.com , referral,1
ga4-btn-policy-social-next,aoyukr.cafe24.com , referral,1
ga4-btn-policy-social-next,astonishkorea.cafe24.com , referral,1
ga4-btn-policy-social-next,blog , ebook2,1
ga4-btn-policy-social-next,iboss , article,1
ga4-btn-policy-social-next,milliong01.cafe24.com , referral,1
ga4-btn-policy-social-next,naverblog , blog,1
ga4-btn-policy-social-next,stibee , cta,1
ga4-btn-policy-social-next,survey , cta,1
ga4-btn-shopinfo-next,aduul1202.cafe24.com , referral,1
ga4-btn-shopinfo-next,amate0722.cafe24.com , referral,1
ga4-btn-shopinfo-next,api.shop-pro.jp , referral,1
ga4-btn-shopinfo-next,app.shop-pro.jp , referral,1
ga4-btn-shopinfo-next,astonishkorea.cafe24.com , referral,1
ga4-btn-shopinfo-next,ccomozzz.cafe24.com , referral,1
ga4-btn-shopinfo-next,charllasample.cafe24.com , referral,1
ga4-btn-shopinfo-next,dikero.cafe24.com , referral,1
ga4-btn-shopinfo-next,fellas86.cafe24.com , referral,1
ga4-btn-shopinfo-next,guutitude.cafe24.com , referral,1
ga4-btn-shopinfo-next,jublanc11.cafe24.com , referral,1
ga4-btn-shopinfo-next,momsbylook.cafe24.com , referral,1
ga4-btn-shopinfo-next,monamhee.cafe24.com , referral,1
ga4-btn-shopinfo-next,realnz24.cafe24.com , referral,1
ga4-btn-shopinfo-next,returnstory1.cafe24.com , referral,1
ga4-btn-shopinfo-next,rimine1129.cafe24.com , referral,1
ga4-btn-shopinfo-next,sabon11.cafe24.com , referral,1
ga4-btn-shopinfo-next,showroom320.cafe24.com , referral,1
ga4-btn-shopinfo-next,sungchun007.cafe24.com , referral,1
ga4-btn-shopinfo-next,tessicompany.cafe24.com , referral,1
ga4-btn-shopinfo-next,vcservice.cafe24.com , referral,1
ga4-btn-shopinfo-next,viimstudio , banner,1
ga4-btn-shopinfo-next,xauto1234.cafe24.com , referral,1
ga4_btn_basic_free,naver , organic,1
sign-up-create-account-social,astonishkorea.cafe24.com , referral,1
sign-up-create-account-social,chloehan.cafe24.com , referral,1
sign-up-create-account-social,daegu1988.cafe24.com , referral,1
sign-up-create-account-social,iboss , article,1
sign-up-create-account-social,idfmall.cafe24.com , referral,1
sign-up-create-account-social,ncssry01.cafe24.com , referral,1
sign-up-create-account-social,orbique.cafe24.com , referral,1
sign-up-create-account-social,stibee , cta,1
sign-up-create-account-social,theclan21.cafe24.com , referral,1
sign-up-create-account-social,tjdnjs119.cafe24.com , referral,1
sign-up-create-account-social,vinne2022.cafe24.com , referral,1
sign_up,ahres.cafe24.com , referral,1
sign_up,api.shop-pro.jp , referral,1
sign_up,app.shop-pro.jp , referral,1
sign_up,bing , organic,1
sign_up,choco27.cafe24.com , referral,1
sign_up,seoulm8080.cafe24.com , referral,1
sign_up,viimstudio , banner,1
sign_up_create_account,(data not available),,1
sign_up_create_account,aduul1202.cafe24.com , referral,1
sign_up_create_account,amate0722.cafe24.com , referral,1
sign_up_create_account,astonishkorea.cafe24.com , referral,1
sign_up_create_account,ccomozzz.cafe24.com , referral,1
sign_up_create_account,charlla_inblog , blog,1
sign_up_create_account,charllasample.cafe24.com , referral,1
sign_up_create_account,dannkw.cafe24.com , referral,1
sign_up_create_account,dikero.cafe24.com , referral,1
sign_up_create_account,fellas86.cafe24.com , referral,1
sign_up_create_account,guessunderwear.cafe24.com , referral,1
sign_up_create_account,guutitude.cafe24.com , referral,1
sign_up_create_account,hirajejuin.cafe24.com , referral,1
sign_up_create_account,ijungmall.cafe24.com , referral,1
sign_up_create_account,jublanc11.cafe24.com , referral,1
sign_up_create_account,kingspower1.cafe24.com , referral,1
sign_up_create_account,koreaking7.cafe24.com , referral,1
sign_up_create_account,lourd.cafe24.com , referral,1
sign_up_create_account,lovebazaar0625.cafe24.com , referral,1
sign_up_create_account,meowbox0383.cafe24.com , referral,1
sign_up_create_account,momsbylook.cafe24.com , referral,1
sign_up_create_account,monamhee.cafe24.com , referral,1
sign_up_create_account,morefit1027.cafe24.com , referral,1
sign_up_create_account,naver , organic,1
sign_up_create_account,nemochip.cafe24.com , referral,1
sign_up_create_account,realnz24.cafe24.com , referral,1
sign_up_create_account,returnstory1.cafe24.com , referral,1
sign_up_create_account,rimine1129.cafe24.com , referral,1
sign_up_create_account,sabon11.cafe24.com , referral,1
sign_up_create_account,senselbeauty.cafe24.com , referral,1
sign_up_create_account,showroom320.cafe24.com , referral,1
sign_up_create_account,skinsosmin.cafe24.com , referral,1
sign_up_create_account,sungchun007.cafe24.com , referral,1
sign_up_create_account,tessicompany.cafe24.com , referral,1
sign_up_create_account,wigglewiggle20.cafe24.com , referral,1
sign_up_create_account,xauto1234.cafe24.com , referral,1
sign_up_create_account,yangchengpeng.cafe24.com , referral,1
sign_up_create_account,yjs064.cafe24.com , referral,1
start_sign_up,accounts.google.com , referral,1
start_sign_up,anne2173.cafe24.com , referral,1
start_sign_up,apps.godo.co.kr , referral,1
start_sign_up,cfd51260.cafe24.com , referral,1
start_sign_up,cloudemotion.cafe24.com , referral,1
start_sign_up,guessunderwear.cafe24.com , referral,1
start_sign_up,ovlr01.cafe24.com , referral,1
start_sign_up,sizeofc.cafe24.com , referral,1
start_sign_up,stayuyh12.cafe24.com , referral,1
start_sign_up,survey , cta,1
start_sign_up,zerofood0.cafe24.com , referral,1
