이벤트,소스,매체,사용자수
ga4-btn-gnb-freetrial,(data not available),,4
ga4-btn-gnb-freetrial,(direct) , (none),17
ga4-btn-gnb-freetrial,cafe24 , banner,1
ga4-btn-gnb-freetrial,chatgpt.com , referral,1
ga4-btn-gnb-freetrial,google , cpc,86
ga4-btn-gnb-freetrial,google , organic,5
ga4-btn-gnb-freetrial,inblog , blog,1
ga4-btn-gnb-freetrial,naver , cpc,2
ga4-btn-gnb-freetrial,naver , organic,1
ga4-btn-gnb-freetrial,viimstudio , banner,1
ga4-btn-home-footer-freetrial,google , cpc,2
ga4-btn-home-footer-freetrial,naver , cpc,1
ga4-btn-home-footer-freetrial,naver , organic,1
ga4-btn-home-freetrial,(data not available),,21
ga4-btn-home-freetrial,(direct) , (none),12
ga4-btn-home-freetrial,bing , organic,1
ga4-btn-home-freetrial,cgimall.co.kr , referral,2
ga4-btn-home-freetrial,charllasample.cafe24.com , referral,1
ga4-btn-home-freetrial,chatgpt.com , ai-assistant,1
ga4-btn-home-freetrial,gdn , banner,2
ga4-btn-home-freetrial,google , cpc,421
ga4-btn-home-freetrial,google , organic,5
ga4-btn-home-freetrial,happylalla486.cafe24.com , referral,1
ga4-btn-home-freetrial,inblog , blog,3
ga4-btn-home-freetrial,jwg-web.tistory.com , referral,1
ga4-btn-home-freetrial,m.search.naver.com , referral,1
ga4-btn-home-freetrial,naver , cpc,21
ga4-btn-home-freetrial,naver , organic,5
ga4-btn-home-freetrial,viimstudio , banner,1
ga4-btn-home-freetrial,yahoo , organic,1
ga4-btn-lite-free,(direct) , (none),1
ga4-btn-lite-free,cafe24 , banner,1
ga4-btn-lite-free,chatgpt.com , ai-assistant,1
ga4-btn-lite-free,google , cpc,3
ga4-btn-lite-free,naver , organic,1
ga4-btn-multiplayer-free,google , cpc,8
ga4-btn-multiplayer-free,m.ad.search.naver.com , referral,1
ga4_btn_basic_free,google , organic,1
sign-up-create-account-social,(data not available),,5
sign-up-create-account-social,(direct) , (none),15
sign-up-create-account-social,chatgpt.com , ai-assistant,1
sign-up-create-account-social,google , cpc,63
sign-up-create-account-social,google , organic,3
sign-up-create-account-social,happylalla486.cafe24.com , referral,1
sign-up-create-account-social,inblog , blog,1
sign-up-create-account-social,naver , cpc,9
sign-up-create-account-social,naver , organic,2
sign-up-create-account-social,viimstudio , banner,1
sign_up,(data not available),,3
sign_up,(direct) , (none),41
sign_up,cafe24 , banner,1
sign_up,cgimall.co.kr , referral,1
sign_up,chatgpt.com , ai-assistant,1
sign_up,google , cpc,32
sign_up,google , organic,4
sign_up,happylalla486.cafe24.com , referral,1
sign_up,jwg-web.tistory.com , referral,1
sign_up,naver , cpc,5
sign_up,naver , organic,5
sign_up,viimstudio , banner,1
sign_up,youtube.com , referral,1
sign_up_create_account,(direct) , (none),47
sign_up_create_account,cafe24 , banner,1
sign_up_create_account,cgimall.co.kr , referral,1
sign_up_create_account,google , cpc,14
sign_up_create_account,google , organic,4
sign_up_create_account,happylalla486.cafe24.com , referral,1
sign_up_create_account,henique.cafe24.com , referral,1
sign_up_create_account,jwg-web.tistory.com , referral,1
sign_up_create_account,m.ad.search.naver.com , referral,1
sign_up_create_account,m.search.naver.com , referral,1
sign_up_create_account,ming4991.cafe24.com , referral,1
sign_up_create_account,naver , cpc,1
sign_up_create_account,naver , organic,3
sign_up_create_account,outlook.live.com , referral,1
sign_up_create_account,ui-deref.de , referral,1
sign_up_create_account,viimstudio , banner,1
sign_up_create_account,youtube.com , referral,1
start_sign_up,(data not available),,2
start_sign_up,(direct) , (none),35
start_sign_up,BS , brand_search_pc,1
start_sign_up,cafe24 , banner,1
start_sign_up,cgimall.co.kr , referral,1
start_sign_up,google , cpc,56
start_sign_up,google , organic,3
start_sign_up,happylalla486.cafe24.com , referral,1
start_sign_up,henique.cafe24.com , referral,1
start_sign_up,jwg-web.tistory.com , referral,1
start_sign_up,m.ad.search.naver.com , referral,1
start_sign_up,m.search.naver.com , referral,1
start_sign_up,ming4991.cafe24.com , referral,1
start_sign_up,naver , cpc,2
start_sign_up,naver , organic,3
start_sign_up,urbancarry.cafe24.com , referral,1
start_sign_up,viimstudio , banner,1
