구분,소스,매체,사용자수
Display,google , cpc,1793
Direct,(direct) , (none),580
Paid Search,google , cpc,506
Display,gdn , banner,141
Paid Search,naver , cpc,133
Cross-network,(data not available),,63
Organic Search,google , organic,62
Paid Video,google , cpc,48
Organic Search,naver , organic,23
Unassigned,BS , brand_search_pc,13
Display,viimstudio , banner,12
Display,cafe24 , banner,11
Referral,charllasample.cafe24.com , referral,9
Organic Search,m.search.naver.com , referral,7
Unassigned,inblog , blog,7
Email,stibee , email,5
Organic Search,bing , organic,5
Referral,gustongue.cafe24.com , referral,4
Referral,anne2173.cafe24.com , referral,3
Referral,br.nate.com , referral,3
Referral,catenoid.net , referral,3
Referral,store.cafe24.com , referral,3
AI Assistant,chatgpt.com , ai-assistant,2
AI Assistant,gemini.google.com , ai-assistant,2
Referral,cgimall.co.kr , referral,2
Referral,chatgpt.com , referral,2
Referral,draw-code.com , referral,2
Referral,henique.cafe24.com , referral,2
Referral,idfmall.cafe24.com , referral,2
Referral,urbancarry.cafe24.com , referral,2
Referral,vcservice.cafe24.com , referral,2
Referral,zerofood0.cafe24.com , referral,2
Organic Search,duckduckgo , organic,1
Organic Search,m.ad.search.naver.com , referral,1
Organic Search,qwant.com , organic,1
Organic Search,yahoo , organic,1
Organic Shopping,inblog , blog,1
Organic Social,facebook.com , referral,1
Organic Social,instagram , dm,1
Organic Video,youtube.com , referral,1
Referral,abnm.cafe24.com , referral,1
Referral,acanstudio.cafe24.com , referral,1
Referral,agoraagora.cafe24.com , referral,1
Referral,anbio.cafe24.com , referral,1
Referral,api.shop-pro.jp , referral,1
Referral,app.notion.com , referral,1
Referral,app.shop-pro.jp , referral,1
Referral,apps.godo.co.kr , referral,1
Referral,asas2855.cafe24.com , referral,1
Referral,baabaamall.cafe24.com , referral,1
Referral,big2love.cafe24.com , referral,1
Referral,bluegrain.cafe24.com , referral,1
Referral,bylab0315.cafe24.com , referral,1
Referral,chairfactory.cafe24.com , referral,1
Referral,cheriaube.cafe24.com , referral,1
Referral,cobblesports24.cafe24.com , referral,1
Referral,curelife7676.cafe24.com , referral,1
Referral,dibambi.cafe24.com , referral,1
Referral,dkotc.cafe24.com , referral,1
Referral,ecoutedy.cafe24.com , referral,1
Referral,fine08.cafe24.com , referral,1
Referral,gbstyle.cafe24.com , referral,1
Referral,gw.yonseidairy.com , referral,1
Referral,gytjs0407.cafe24.com , referral,1
Referral,happylalla486.cafe24.com , referral,1
Referral,heulo.cafe24.com , referral,1
Referral,jwg-web.tistory.com , referral,1
Referral,ko2hand.cafe24.com , referral,1
Referral,kodia2511.cafe24.com , referral,1
Referral,ksr8569.cafe24.com , referral,1
Referral,layermfg.cafe24.com , referral,1
Referral,lilyeve.cafe24.com , referral,1
Referral,ln1030.cafe24.com , referral,1
Referral,lookds.cafe24.com , referral,1
Referral,lordloar.cafe24.com , referral,1
Referral,meliens.cafe24.com , referral,1
Referral,midnm2019.cafe24.com , referral,1
Referral,milliong01.cafe24.com , referral,1
Referral,ming4991.cafe24.com , referral,1
Referral,minimalpiercing.cafe24.com , referral,1
Referral,miyawa.cafe24.com , referral,1
Referral,namu.wiki , referral,1
Referral,naya3787.cafe24.com , referral,1
Referral,nontidy.cafe24.com , referral,1
Referral,novaecom.cafe24.com , referral,1
Referral,ofbase01.cafe24.com , referral,1
Referral,orbique.cafe24.com , referral,1
Referral,outlook.live.com , referral,1
Referral,passwords.google.com , referral,1
Referral,plac01.cafe24.com , referral,1
Referral,realonflow.cafe24.com , referral,1
Referral,risenbelow.cafe24.com , referral,1
Referral,sagrp1.cafe24.com , referral,1
Referral,saintluxure.cafe24.com , referral,1
Referral,saraq0123.cafe24.com , referral,1
Referral,scelido123.cafe24.com , referral,1
Referral,seokjno4.cafe24.com , referral,1
Referral,shodanhq.com , referral,1
Referral,sungchun007.cafe24.com , referral,1
Referral,surfersco33.cafe24.com , referral,1
Referral,thanksmomshop.cafe24.com , referral,1
Referral,tokyonpearlkorea.cafe24.com , referral,1
Referral,tuilab.cafe24.com , referral,1
Referral,ui-deref.de , referral,1
Referral,uzin2026.cafe24.com , referral,1
Referral,volvikapparel.cafe24.com , referral,1
Referral,vshu.cafe24.com , referral,1
Referral,zappyrex01.cafe24.com , referral,1
Unassigned,charlla_inblog , blog,1
Unassigned,stibee , newsletter,1
