이벤트,소스,매체,사용자수
sign-up-create-account-social,(direct) , (none),367
sign-up-create-account-social,google , cpc,257
ga4-btn-home-freetrial,google , cpc,495
ga4-btn-policy-social-next,(direct) , (none),331
ga4-btn-policy-social-next,google , cpc,233
sign_up,(direct) , (none),136
ga4-btn-shopinfo-next,(direct) , (none),144
ga4-btn-gnb-freetrial,google , cpc,101
ga4-btn-shopinfo-next,google , cpc,79
start_sign_up,(direct) , (none),62
sign_up_create_account,(direct) , (none),46
sign_up,google , cpc,52
ga4-btn-gnb-freetrial,(direct) , (none),13
start_sign_up,google , cpc,24
ga4-btn-policy-next,(direct) , (none),35
sign-up-create-account-social,naver , cpc,10
sign_up_create_account,qhdrus123.cafe24.com , referral,5
ga4-btn-home-freetrial,(data not available),,20
ga4-btn-home-freetrial,naver , cpc,23
start_sign_up,google , organic,12
sign-up-create-account-social,google , organic,8
sign-up-create-account-social,(data not available),,10
ga4-btn-home-freetrial,(direct) , (none),11
ga4-btn-shopinfo-next,BS , brand_search_pc,4
ga4-btn-policy-social-next,naver , cpc,9
sign_up,google , organic,7
ga4-btn-shopinfo-next,(data not available),,7
sign_up_create_account,google , cpc,4
ga4-btn-policy-social-next,(data not available),,9
sign_up_create_account,google , organic,6
sign_up_create_account,haneseoul82.cafe24.com , referral,3
sign-up-create-account-social,BS , brand_search_pc,5
sign_up,(data not available),,6
sign_up,naver , organic,4
sign_up_create_account,overthebrand.cafe24.com , referral,2
ga4-btn-gnb-freetrial,(data not available),,7
ga4-btn-policy-social-next,google , organic,6
ga4-btn-shopinfo-next,naver , cpc,4
sign-up-create-account-social,viimstudio , banner,2
ga4-btn-home-freetrial,google , organic,4
ga4-btn-multiplayer-free,google , cpc,5
ga4-btn-shopinfo-next,google , organic,6
ga4-btn-shopinfo-next,stoe.cafe24.com , referral,1
sign-up-create-account-social,asas2855.cafe24.com , referral,1
sign-up-create-account-social,haneseoul82.cafe24.com , referral,1
