구분,소스,매체,사용자수
Direct,(direct) , (none),1489
Paid Search,google , cpc,812
Display,google , cpc,764
Paid Search,naver , cpc,135
Organic Search,google , organic,129
Cross-network,(data not available),,46
Unassigned,BS , brand_search_pc,40
Display,viimstudio , banner,14
Organic Search,naver , organic,14
Display,gdn , banner,13
Referral,charllasample.cafe24.com , referral,10
Referral,pkh8585.cafe24.com , referral,10
Organic Search,m.search.naver.com , referral,8
Unassigned,cafe24 , floating_banner,8
Organic Search,bing , organic,7
Referral,app.shop-pro.jp , referral,7
Referral,qhdrus123.cafe24.com , referral,7
Paid Video,google , cpc,6
Referral,ageatlabs.cafe24.com , referral,6
Referral,idfmall.cafe24.com , referral,6
Organic Shopping,stibee , ebook,5
Referral,uzin2026.cafe24.com , referral,5
Referral,apps.godo.co.kr , referral,4
Referral,chatgpt.com , referral,4
Referral,eb970604.cafe24.com , referral,4
Referral,jwg-web.tistory.com , referral,4
Referral,legodtofficial.cafe24.com , referral,4
Paid Shopping,naver , cpc,3
Referral,anne2173.cafe24.com , referral,3
Referral,api.shop-pro.jp , referral,3
Referral,betterlab1.cafe24.com , referral,3
Referral,blog.catenoid.net , referral,3
Referral,br.nate.com , referral,3
Referral,celora.cafe24.com , referral,3
Referral,charlla.io , referral,3
Referral,dannkw.cafe24.com , referral,3
Referral,gustongue.cafe24.com , referral,3
Referral,haneseoul82.cafe24.com , referral,3
Referral,hjmszz.cafe24.com , referral,3
Referral,mangomgmp.cafe24.com , referral,3
Referral,meliens.cafe24.com , referral,3
Referral,moont2018.cafe24.com , referral,3
Referral,nextsereme.cafe24.com , referral,3
Referral,ovlr01.cafe24.com , referral,3
Referral,seasnoff.cafe24.com , referral,3
Referral,syfnc23.cafe24.com , referral,3
Referral,urbancarry.cafe24.com , referral,3
Display,GFA , Banner,2
Display,cafe24 , banner,2
Organic Search,yahoo , organic,2
Organic Social,blog.naver.com , referral,2
Referral,accounts.google.com , referral,2
Referral,apps.nhn-commerce.com , referral,2
Referral,awesomehabi1029.cafe24.com , referral,2
Referral,bluegrain.cafe24.com , referral,2
Referral,bs2korea.cafe24.com , referral,2
Referral,burnscorp.cafe24.com , referral,2
Referral,catenoid.net , referral,2
Referral,cfd51260.cafe24.com , referral,2
Referral,curelife7676.cafe24.com , referral,2
Referral,demoo15411.cafe24.com , referral,2
Referral,drhager.cafe24.com , referral,2
Referral,eve014.cafe24.com , referral,2
Referral,exerapy.cafe24.com , referral,2
Referral,hojaefs001.cafe24.com , referral,2
