이벤트,소스,매체,사용자수
ga4-btn-home-freetrial,google , cpc,683
sign-up-create-account-social,google , cpc,264
ga4-btn-policy-social-next,google , cpc,237
ga4-btn-gnb-freetrial,google , cpc,152
sign-up-create-account-social,(direct) , (none),60
sign_up,google , cpc,65
ga4-btn-shopinfo-next,google , cpc,72
ga4-btn-policy-social-next,(direct) , (none),47
ga4-btn-home-freetrial,(data not available),,37
sign_up,(direct) , (none),30
ga4-btn-gnb-freetrial,(direct) , (none),23
sign-up-create-account-social,google , organic,10
start_sign_up,google , cpc,29
sign-up-create-account-social,(data not available),,22
ga4-btn-home-freetrial,(direct) , (none),26
sign_up_create_account,(direct) , (none),25
start_sign_up,(direct) , (none),23
ga4-btn-shopinfo-next,(direct) , (none),26
sign-up-create-account-social,naver , cpc,12
ga4-btn-home-freetrial,naver , cpc,25
ga4-btn-gnb-freetrial,(data not available),,16
ga4-btn-policy-social-next,(data not available),,18
ga4-btn-policy-next,(direct) , (none),16
sign-up-create-account-social,naver , organic,3
sign_up,naver , cpc,7
sign_up,(data not available),,8
ga4-btn-policy-social-next,naver , cpc,10
ga4-btn-gnb-freetrial,google , organic,7
ga4-btn-shopinfo-next,(data not available),,9
sign-up-create-account-social,BS , brand_search_pc,3
sign_up,google , organic,4
ga4-btn-home-footer-freetrial,google , cpc,8
sign_up,stibee , cta,4
sign_up,cafe24 , banner,4
ga4-btn-multiplayer-free,google , cpc,5
ga4-btn-policy-social-next,google , organic,6
ga4-btn-shopinfo-next,naver , cpc,6
sign_up_create_account,cafe24 , banner,3
sign_up_create_account,google , cpc,4
start_sign_up,google , organic,6
ga4-btn-policy-next,cafe24 , banner,4
ga4-btn-policy-social-next,naver , organic,2
sign_up,moonjm65.cafe24.com , referral,1
ga4-btn-home-freetrial,naver , organic,4
ga4-btn-policy-next,google , cpc,4
ga4-btn-shopinfo-next,google , organic,3
ga4-btn-shopinfo-next,stibee , cta,4
sign-up-create-account-social,jublanc11.cafe24.com , referral,1
sign_up,naver , organic,2
sign_up_create_account,atao.cafe24.com , referral,1
sign_up_create_account,google , organic,4
start_sign_up,naver , cpc,3
ga4-btn-gnb-freetrial,naver , cpc,3
ga4-btn-lite-free,(direct) , (none),2
ga4-btn-lite-free,google , cpc,3
ga4-btn-policy-next,google , organic,3
ga4-btn-policy-social-next,ig , social,2
ga4-btn-policy-social-next,stibee , cta,3
ga4-btn-shopinfo-next,cafe24 , banner,3
ga4-btn-shopinfo-next,store.cafe24.com , referral,1
sign-up-create-account-social,accounts.google.com , referral,2
sign-up-create-account-social,br.nate.com , referral,1
sign-up-create-account-social,globian01.cafe24.com , referral,1
sign-up-create-account-social,ig , social,2
sign-up-create-account-social,stibee , cta,3
sign_up_create_account,good4026.cafe24.com , referral,1
sign_up_create_account,ksjin1016.cafe24.com , referral,1
sign_up_create_account,tuilab.cafe24.com , referral,2
start_sign_up,stibee , cta,3
ga4-btn-gnb-freetrial,atao.cafe24.com , referral,1
ga4-btn-gnb-freetrial,naver , organic,2
ga4-btn-gnb-freetrial,raraco23.cafe24.com , referral,1
ga4-btn-gnb-freetrial,stibee , cta,2
ga4-btn-home-footer-freetrial,naver , cpc,2
ga4-btn-home-freetrial,BS , brand_search_pc,2
ga4-btn-home-freetrial,cafe24 , banner,2
ga4-btn-home-freetrial,google , organic,2
ga4-btn-home-freetrial,ig , social,2
ga4-btn-home-freetrial,instagram , cta,2
ga4-btn-home-freetrial,naverblog , blog,1
ga4-btn-home-freetrial,stibee , cta,2
ga4-btn-home-freetrial,viimstudio , banner,2
ga4-btn-playlist-free,(direct) , (none),2
ga4-btn-playlist-free,google , organic,2
ga4-btn-policy-next,atao.cafe24.com , referral,1
ga4-btn-policy-next,naver , cpc,2
ga4-btn-policy-social-next,BS , brand_search_pc,2
ga4-btn-policy-social-next,accounts.google.com , referral,2
ga4-btn-policy-social-next,globian01.cafe24.com , referral,1
ga4-btn-shopinfo-next,naver , organic,2
sign_up,BS , brand_search_pc,1
sign_up,accounts.google.com , referral,1
sign_up,airsignlan.cafe24.com , referral,1
sign_up,alsdnd6231.cafe24.com , referral,1
sign_up,atao.cafe24.com , referral,1
sign_up,br.nate.com , referral,1
sign_up,catenoid.net , referral,1
sign_up,doubleflag.cafe24.com , referral,1
sign_up,greatkorea1.cafe24.com , referral,1
sign_up,henique.cafe24.com , referral,1
sign_up,ig , social,1
sign_up,knou88.cafe24.com , referral,1
sign_up,ksjin1016.cafe24.com , referral,1
sign_up,menear.cafe24.com , referral,1
sign_up,minshua1.cafe24.com , referral,1
sign_up,mintgarden.cafe24.com , referral,1
sign_up,mnviral2.cafe24.com , referral,1
sign_up,raraco23.cafe24.com , referral,1
sign_up,stibee , ebook,1
sign_up,store.cafe24.com , referral,1
sign_up,tuilab.cafe24.com , referral,1
sign_up,worldbeauty001.cafe24.com , referral,1
sign_up_create_account,cncinter0696.cafe24.com , referral,1
sign_up_create_account,doubleflag.cafe24.com , referral,1
sign_up_create_account,greatkorea1.cafe24.com , referral,1
sign_up_create_account,greatkorea2.cafe24.com , referral,2
sign_up_create_account,haneseoul82.cafe24.com , referral,1
sign_up_create_account,naver , cpc,2
sign_up_create_account,raraco23.cafe24.com , referral,1
