이벤트,소스,매체,사용자수
start_sign_up,ksjin1016.cafe24.com , referral,1
ga4-btn-gnb-freetrial,BS , brand_search_pc,1
ga4-btn-gnb-freetrial,instagram , cta,1
ga4-btn-gnb-freetrial,vegavery2019.cafe24.com , referral,1
ga4-btn-home-footer-freetrial,(direct) , (none),1
ga4-btn-home-footer-freetrial,catenoid.net , referral,1
ga4-btn-home-freetrial,iboss , ebook2,1
ga4-btn-home-freetrial,m.search.naver.com , referral,1
ga4-btn-home-freetrial,skitbeauty.cafe24.com , referral,1
ga4-btn-home-freetrial,survey , cta,1
ga4-btn-lite-free,google , organic,1
ga4-btn-lite-free,ig , social,1
ga4-btn-multiplayer-free,naver , cpc,1
ga4-btn-policy-next,airsignlan.cafe24.com , referral,1
ga4-btn-policy-next,alsdnd6231.cafe24.com , referral,1
ga4-btn-policy-next,anne2173.cafe24.com , referral,1
ga4-btn-policy-next,catenoid.net , referral,1
ga4-btn-policy-next,charllasample.cafe24.com , referral,1
ga4-btn-policy-next,doubleflag.cafe24.com , referral,1
ga4-btn-policy-next,glotaniakr.cafe24.com , referral,1
ga4-btn-policy-next,gngnine9.cafe24.com , referral,1
ga4-btn-policy-next,good4026.cafe24.com , referral,1
ga4-btn-policy-next,greatkorea1.cafe24.com , referral,1
ga4-btn-policy-next,henique.cafe24.com , referral,1
ga4-btn-policy-next,knou88.cafe24.com , referral,1
ga4-btn-policy-next,ksjin1016.cafe24.com , referral,1
ga4-btn-policy-next,mail.google.com , referral,1
ga4-btn-policy-next,menear.cafe24.com , referral,1
ga4-btn-policy-next,minshua1.cafe24.com , referral,1
ga4-btn-policy-next,mintgarden.cafe24.com , referral,1
ga4-btn-policy-next,mnviral2.cafe24.com , referral,1
ga4-btn-policy-next,mondada0506.cafe24.com , referral,1
ga4-btn-policy-next,moonjm65.cafe24.com , referral,1
ga4-btn-policy-next,moont2018.cafe24.com , referral,1
ga4-btn-policy-next,naver , organic,1
ga4-btn-policy-next,raraco23.cafe24.com , referral,1
ga4-btn-policy-next,rkawiwh.cafe24.com , referral,1
ga4-btn-policy-next,stibee , cta,1
ga4-btn-policy-next,store.cafe24.com , referral,1
ga4-btn-policy-next,toyostore.cafe24.com , referral,1
ga4-btn-policy-next,tuilab.cafe24.com , referral,1
ga4-btn-policy-next,worldbeauty001.cafe24.com , referral,1
ga4-btn-policy-social-next,br.nate.com , referral,1
ga4-btn-policy-social-next,iboss , ebook2,1
ga4-btn-policy-social-next,jublanc11.cafe24.com , referral,1
ga4-btn-policy-social-next,stibee , ebook,1
ga4-btn-shopinfo-next,BS , brand_search_pc,1
ga4-btn-shopinfo-next,accounts.google.com , referral,1
ga4-btn-shopinfo-next,airsignlan.cafe24.com , referral,1
ga4-btn-shopinfo-next,alsdnd6231.cafe24.com , referral,1
ga4-btn-shopinfo-next,atao.cafe24.com , referral,1
ga4-btn-shopinfo-next,br.nate.com , referral,1
ga4-btn-shopinfo-next,catenoid.net , referral,1
ga4-btn-shopinfo-next,doubleflag.cafe24.com , referral,1
ga4-btn-shopinfo-next,greatkorea1.cafe24.com , referral,1
ga4-btn-shopinfo-next,henique.cafe24.com , referral,1
ga4-btn-shopinfo-next,iboss , ebook2,1
ga4-btn-shopinfo-next,ig , social,1
ga4-btn-shopinfo-next,knou88.cafe24.com , referral,1
ga4-btn-shopinfo-next,ksjin1016.cafe24.com , referral,1
ga4-btn-shopinfo-next,menear.cafe24.com , referral,1
ga4-btn-shopinfo-next,minshua1.cafe24.com , referral,1
ga4-btn-shopinfo-next,mintgarden.cafe24.com , referral,1
ga4-btn-shopinfo-next,mnviral2.cafe24.com , referral,1
ga4-btn-shopinfo-next,moonjm65.cafe24.com , referral,1
ga4-btn-shopinfo-next,raraco23.cafe24.com , referral,1
ga4-btn-shopinfo-next,rkawiwh.cafe24.com , referral,1
ga4-btn-shopinfo-next,stibee , ebook,1
ga4-btn-shopinfo-next,toyostore.cafe24.com , referral,1
ga4-btn-shopinfo-next,tuilab.cafe24.com , referral,1
ga4-btn-shopinfo-next,worldbeauty001.cafe24.com , referral,1
ga4-btn-standard-free,(direct) , (none),1
ga4_btn_basic_free,cafe24 , banner,1
ga4_btn_basic_free,google , cpc,1
sign-up-create-account-social,aubyou.cafe24.com , referral,1
sign-up-create-account-social,chloehan.cafe24.com , referral,1
sign-up-create-account-social,deepinor.cafe24.com , referral,1
sign-up-create-account-social,iboss , ebook2,1
sign-up-create-account-social,instagram , cta,1
sign-up-create-account-social,stibee , ebook,1
sign-up-create-account-social,viimstudio , banner,1
sign_up,anne2173.cafe24.com , referral,1
sign_up,charllasample.cafe24.com , referral,1
sign_up,gngnine9.cafe24.com , referral,1
sign_up,greatkorea2.cafe24.com , referral,1
sign_up,iboss , ebook2,1
sign_up,mondada0506.cafe24.com , referral,1
sign_up,moont2018.cafe24.com , referral,1
sign_up,rkawiwh.cafe24.com , referral,1
sign_up,toyostore.cafe24.com , referral,1
sign_up_create_account,BS , brand_search_pc,1
sign_up_create_account,airsignlan.cafe24.com , referral,1
sign_up_create_account,alsdnd6231.cafe24.com , referral,1
sign_up_create_account,catenoid.net , referral,1
sign_up_create_account,glotaniakr.cafe24.com , referral,1
sign_up_create_account,henique.cafe24.com , referral,1
sign_up_create_account,joynhome.cafe24.com , referral,1
sign_up_create_account,knou88.cafe24.com , referral,1
sign_up_create_account,mail.google.com , referral,1
sign_up_create_account,menear.cafe24.com , referral,1
sign_up_create_account,ming4991.cafe24.com , referral,1
sign_up_create_account,minshua1.cafe24.com , referral,1
sign_up_create_account,mintgarden.cafe24.com , referral,1
sign_up_create_account,mnviral2.cafe24.com , referral,1
sign_up_create_account,moonjm65.cafe24.com , referral,1
sign_up_create_account,naver , organic,1
sign_up_create_account,rkawiwh.cafe24.com , referral,1
sign_up_create_account,stibee , cta,1
sign_up_create_account,store.cafe24.com , referral,1
sign_up_create_account,techsupport24.cafe24.com , referral,1
sign_up_create_account,toyostore.cafe24.com , referral,1
sign_up_create_account,worldbeauty001.cafe24.com , referral,1
start_sign_up,ageatlabs.cafe24.com , referral,1
start_sign_up,apps.godo.co.kr , referral,1
start_sign_up,cafe24 , banner,1
start_sign_up,doubleflag.cafe24.com , referral,1
start_sign_up,jublanc11.cafe24.com , referral,1
start_sign_up,myhomesick.cafe24.com , referral,1
start_sign_up,naver , organic,1
