구분,소스,매체,사용자수
Display,google , cpc,1985
Organic Social,instagram , cta,1734
Paid Search,google , cpc,1277
Direct,(direct) , (none),906
Paid Search,naver , cpc,208
Organic Search,google , organic,146
Cross-network,(data not available),,144
Unassigned,stibee , cta,129
Organic Search,naver , organic,29
Display,cafe24 , banner,28
Unassigned,(not set) , ???,26
Display,viimstudio , banner,22
Display,gdn , banner,17
Unassigned,BS , brand_search_pc,17
Organic Search,m.search.naver.com , referral,13
Organic Social,ig , social,13
Referral,br.nate.com , referral,8
Unassigned,iboss , ebook2,8
Unassigned,stibee , ebook,8
Referral,pkh8585.cafe24.com , referral,7
Paid Video,google , cpc,6
Referral,catenoid.net , referral,6
Referral,charllasample.cafe24.com , referral,6
Referral,eve014.cafe24.com , referral,6
Organic Search,bing , organic,5
Organic Social,facebook.com , referral,5
Referral,gustongue.cafe24.com , referral,5
Referral,hojaefs001.cafe24.com , referral,5
Referral,store.cafe24.com , referral,5
Referral,anne2173.cafe24.com , referral,4
Referral,baruner.cafe24.com , referral,4
Referral,charlla.io , referral,4
Referral,store.makeshop.co.kr , referral,4
Unassigned,survey , cta,4
Referral,api.shop-pro.jp , referral,3
Referral,app.shop-pro.jp , referral,3
Referral,ausentico.cafe24.com , referral,3
Referral,d.cafe24.com , referral,3
Referral,globian01.cafe24.com , referral,3
Referral,greatkorea2.cafe24.com , referral,3
Referral,henique.cafe24.com , referral,3
Referral,idfmall.cafe24.com , referral,3
Referral,lilyeve.cafe24.com , referral,3
Referral,naya3787.cafe24.com , referral,3
Referral,ovlr01.cafe24.com , referral,3
Referral,uzin2026.cafe24.com , referral,3
AI Assistant,gemini.google.com , ai-assistant,2
Display,kmong , banner,2
Organic Social,m.facebook.com , referral,2
Referral,accounts.google.com , referral,2
Referral,apotheehouse.cafe24.com , referral,2
Referral,asas2855.cafe24.com , referral,2
Referral,ballonblanclife.cafe24.com , referral,2
Referral,big2love.cafe24.com , referral,2
Referral,blog.catenoid.net , referral,2
Referral,bonjourcc.cafe24.com , referral,2
Referral,bs2korea.cafe24.com , referral,2
Referral,bttrofficial.cafe24.com , referral,2
Referral,chloehan.cafe24.com , referral,2
Referral,curelife7676.cafe24.com , referral,2
Referral,dknutrition.cafe24.com , referral,2
Referral,dkotc.cafe24.com , referral,2
Referral,eb970604.cafe24.com , referral,2
Referral,edenne1004.cafe24.com , referral,2
Referral,fine08.cafe24.com , referral,2
Referral,gngnine9.cafe24.com , referral,2
Referral,gytjs0407.cafe24.com , referral,2
Referral,haneseoul82.cafe24.com , referral,2
Referral,hjmszz.cafe24.com , referral,2
Referral,hoogswim.cafe24.com , referral,2
Referral,kthrapeuitcs.cafe24.com , referral,2
Referral,layermfg.cafe24.com , referral,2
Referral,ln1030.cafe24.com , referral,2
Referral,lusom.cafe24.com , referral,2
Referral,moont2018.cafe24.com , referral,2
Referral,namu.wiki , referral,2
Referral,nsa-aet.sentinel.navercorp.com , referral,2
Referral,orbique.cafe24.com , referral,2
Referral,quat.cafe24.com , referral,2
Referral,qwork123.cafe24.com , referral,2
Referral,sabon11.cafe24.com , referral,2
Referral,saintluxure.cafe24.com , referral,2
Referral,scelido123.cafe24.com , referral,2
Referral,sennyempas.cafe24.com , referral,2
Referral,store1947.cafe24.com , referral,2
Referral,sungchun007.cafe24.com , referral,2
Referral,thanksmomshop.cafe24.com , referral,2
Referral,tuilab.cafe24.com , referral,2
Referral,urbancarry.cafe24.com , referral,2
Referral,usul.cafe24.com , referral,2
Referral,vcservice.cafe24.com , referral,2
Referral,viewgel2.cafe24.com , referral,2
Referral,volvikapparel.cafe24.com , referral,2
Referral,zappyrex01.cafe24.com , referral,2
Referral,zishenmall.cafe24.com , referral,2
Unassigned,inblog , blog,2
Unassigned,naverblog , blog,2
Display,iboss , banner,1
Organic Search,mail.aol.com , referral,1
Organic Search,mail.daum.net , referral,1
Organic Search,so.com , referral,1
Organic Social,instagram , ebook2,1
Organic Social,instagram.com , referral,1
Organic Video,youtube.com , referral,1
Referral,59.18.34.179 , referral,1
Referral,abnm.cafe24.com , referral,1
Referral,acanstudio.cafe24.com , referral,1
Referral,adpderma.cafe24.com , referral,1
Referral,ageatlabs.cafe24.com , referral,1
Referral,agoraagora.cafe24.com , referral,1
Referral,airsignlan.cafe24.com , referral,1
Referral,alsdnd6231.cafe24.com , referral,1
Referral,anderssonbell.cafe24.com , referral,1
Referral,app.notion.com , referral,1
Referral,apps.godo.co.kr , referral,1
Referral,apps.nhn-commerce.com , referral,1
Referral,atao.cafe24.com , referral,1
Referral,aubyou.cafe24.com , referral,1
Referral,balimall.cafe24.com , referral,1
Referral,bcbg2019.cafe24.com , referral,1
